[1027/193700.287:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1027/195005.546:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195010.559:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195015.578:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195020.586:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195025.594:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195030.606:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195035.618:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195040.649:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195045.685:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195050.704:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195055.726:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195100.737:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195105.746:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195110.750:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195115.754:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195120.775:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1027/195546.451:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
